region_id,area_px,perimeter_px,eccentricity,major_axis_length_px,minor_axis_length_px,orientation_rad,bbox,centroid_yx
18,2821,651.3523804664972,0.891474505816613,119.04001894452846,53.933563928117344,-0.49343174072554014,"[188, 412, 296, 496]","[244.26373626373626, 451.40552995391704]"
19,1592,346.1076477383248,0.9893360536485687,136.6614002667991,19.904850445919962,-0.04236838843954645,"[195, 120, 316, 143]","[258.3134422110553, 130.69849246231155]"
20,1708,489.41630560342617,0.7588801129497658,80.10432352325982,52.16636697718418,-0.07439013632640494,"[213, 283, 285, 344]","[244.23829039812645, 306.49473067915693]"
21,373,135.74011537017762,0.9094017400300943,47.94115274060801,19.939628276697363,0.6962987153535705,"[217, 5, 259, 31]","[239.3592493297587, 17.246648793565683]"
22,552,105.39696961966999,0.6354166859783946,31.276294827733643,24.15059888237022,1.5353323032725468,"[229, 205, 258, 239]","[241.82608695652175, 220.91485507246378]"
23,1049,358.91883092036784,0.6538878419627525,61.66936149626382,46.65851440310146,1.019577210062344,"[275, 35, 334, 90]","[310.53670162059103, 61.222116301239275]"
24,534,132.22539674441617,0.7421583759514736,35.860252813270534,24.034421739982996,0.40594151416636753,"[289, 281, 324, 309]","[307.59550561797755, 291.03370786516854]"
25,291,108.18376618407358,0.9876525778887348,51.91288288475427,8.13267716848022,0.01612562877657691,"[290, 5, 337, 14]","[313.78006872852234, 8.216494845360824]"
26,417,134.95331880577405,0.8982655094553346,40.90237033668668,17.974675648783204,-1.5388144465117368,"[327, 203, 350, 247]","[336.86570743405275, 224.4388489208633]"
27,217,67.01219330881976,0.8424073108899077,23.685379401710843,12.76266009975605,1.2144445341777117,"[331, 285, 348, 309]","[338.21198156682027, 296.2764976958525]"
28,176,65.94112549695427,0.8986826293544041,25.37963651676143,11.131496184334924,0.3981860677741902,"[338, 4, 362, 18]","[351.3011363636364, 10.278409090909092]"
29,164,74.6335136523794,0.7041452570870744,19.835629693822316,14.08440695301948,-1.3780725306718373,"[339, 46, 354, 63]","[345.7256097560976, 53.71341463414634]"
30,1550,378.73506473629425,0.9507217062168011,108.11107601909644,33.519357023531676,1.556404231673066,"[355, 0, 399, 107]","[378.6864516129032, 53.14258064516129]"
31,1463,374.8772003600252,0.952109002613318,107.08079078149143,32.740894681674476,-0.20528235176592052,"[356, 142, 456, 181]","[394.33287764866714, 154.72385509227615]"
32,286,84.76955262170047,0.8118780122852519,27.327402251147895,15.954478251935777,-1.317111115670515,"[373, 113, 394, 137]","[383.9475524475524, 126.16083916083916]"
33,219,78.5269119345812,0.8539746888289163,28.06519996097519,14.602731885599978,-0.9588263714473693,"[403, 221, 424, 244]","[410.4246575342466, 229.45205479452054]"
34,741,210.89444430272832,0.930146698826558,63.025842885706645,23.142341034641845,-0.7686488353542229,"[453, 268, 499, 321]","[473.8515519568151, 298.8529014844804]"
35,975,268.936074863071,0.7018047208107774,61.20244899478972,43.59875065719093,0.05488247202285396,"[458, 438, 507, 483]","[478.7353846153846, 460.80102564102566]"
36,695,181.13098833543773,0.8495684947719722,49.624382371425156,26.175785591286317,-1.1769298344739336,"[462, 40, 494, 88]","[475.294964028777, 58.7568345323741]"
37,1632,369.1787155501902,0.48839909995958153,70.11910497198002,61.18735968710683,-1.3675927369110947,"[462, 94, 512, 157]","[487.41789215686276, 129.80882352941177]"
38,497,128.22539674441617,0.7893272745108268,37.61949331855976,23.09734119207183,0.5887174075192096,"[462, 217, 492, 247]","[474.2837022132797, 233.8893360160966]"
39,423,153.49747468305833,0.9605568647060729,54.461452269598695,15.144838772284736,-0.1365717377769399,"[462, 258, 512, 278]","[482.2340425531915, 264.0070921985816]"
40,229,92.72792206135784,0.9869498751431054,48.39860522740216,7.793519657802941,-0.091350026543898,"[472, 19, 512, 30]","[493.43231441048033, 25.21834061135371]"
41,236,93.4558441227157,0.9407509225293237,37.385722335895174,12.677437352323398,-0.2431035885153221,"[479, 173, 512, 188]","[498.2542372881356, 181.8135593220339]"
42,163,73.07106781186548,0.987891953989713,37.55622055042296,5.82660128195097,-0.023171755741864284,"[479, 496, 512, 503]","[495.5828220858896, 499.06134969325154]"
43,170,59.87005768508881,0.6556388921654496,18.596097234451644,14.041440576378509,0.14868211314308943,"[484, 0, 504, 15]","[494.9529411764706, 7.423529411764706]"
